Apartment Name,Apartment Type,Available Room,Price,,,Lower Bound,Upper Bound,Price Mean in $,Area,Area in sqft Cleaned,#Beds,#Beds Cleaned,#Baths,#Baths Cleaned,Availability,Ratings,Ratings in starts
Thirty 43 by the Greene,1 Bed 2nd Floor,3024-2F,$859 ,859,859,859,859,859,600 sqft,600,1 Bed,1,1 Bath,1 ,Today,90%,4.5
Thirty 43 by the Greene,1 Bed 2nd Floor,3024-2A,$859 ,859,859,859,859,859,600 sqft,600,1 Bed,1,1 Bath,1 ,Jun 11,90%,4.5
Thirty 43 by the Greene,2 TH Balcony,2901C,$929 ,929,929,929,929,929,1090 sqft,1090,2 Beds,2,1.5 Bath,1.5 ,May 11,90%,4.5
Thirty 43 by the Greene,2 TH Patio,3038H,$979 ,979,979,979,979,979,1090 sqft,1090,2 Beds,2,1.5 Bath,1.5 ,Jun 11,90%,4.5
Thirty 43 by the Greene,1 Bed 3rd Floor,3024-3D,$889 ,889,889,889,889,889,600 sqft,600,1 Bed,1,1 Bath,1 ,Jul 09,90%,4.5
Thirty 43 by the Greene,1 Bed 1st Floor,NA,$839 ,839,839,839,839,839,600+ sqft,600,1 Bed,1,1 Bath,1 ,Contact,90%,4.5
Thirty 43 by the Greene,2 TH Balcony Phase 1,NA,$939 ,939,939,939,939,939,1090+ sqft,1090,2 Beds,2,1.5 Bath,1.5 ,Contact,90%,4.5
Thirty 43 by the Greene,2TH Balcony WD H-up,NA,$959 ,959,959,959,959,959,1090+ sqft,1090,2 Beds,2,1.5 Bath,1.5 ,Contact,90%,4.5
Thirty 43 by the Greene,2 TH Carport,NA,$999 ,999,999,999,999,999,1090+ sqft,1090,2 Beds,2,1.5 Bath,1.5 ,Contact,90%,4.5
Thirty 43 by the Greene,2 TH Patio WD H-up,NA,$979 ,979,979,979,979,979,1090+ sqft,1090,2 Beds,2,1.5 Bath,1.5 ,Contact,90%,4.5
The Landing,1 Bed 1 Bath,1-901,"$1,199 ",1199,1199,1199,1199,1199,601 sqft,601,1 Bed,1,1 Bath,1 ,Today,80%,4
The Landing,1 Bed 1 Bath,1-701,$899 ,899,899,899,899,899,601 sqft,601,1 Bed,1,1 Bath,1 ,Jun 12,80%,4
The Landing,1 Bed 1 Bath,212LIB,"$1,049 ",1049,1049,1049,1049,1049,794 sqft,794,1 Bed,1,1 Bath,1 ,Today,80%,4
The Landing,1 Bed 1 Bath,242LIB,"$1,049 ",1049,1049,1049,1049,1049,794 sqft,794,1 Bed,1,1 Bath,1 ,Today,80%,4
The Landing,1 Bed 1 Bath,272LIB,"$1,049 ",1049,1049,1049,1049,1049,794 sqft,794,1 Bed,1,1 Bath,1 ,Today,80%,4
The Landing,1 Bed 1 Bath,222LIB,"$1,049 ",1049,1049,1049,1049,1049,794 sqft,794,1 Bed,1,1 Bath,1 ,Jul 10,80%,4
The Landing,2 Bed 2 Bath,223MON,"$1,349 ",1349,1349,1349,1349,1349,1036 sqft,1036,2 Beds,2,2 Bath,2 ,Today,80%,4
The Landing,2 Bed 2 Bath,307WIL,"$1,349 ",1349,1349,1349,1349,1349,1036 sqft,1036,2 Beds,2,2 Bath,2 ,Today,80%,4
The Landing,2 Bed 2 Bath,315WIL,"$1,499 ",1499,1499,1499,1499,1499,1036 sqft,1036,2 Beds,2,2 Bath,2 ,Today,80%,4
The Landing,2 Bed 2 Bath,233MON,$999 ,999,999,999,999,999,1036 sqft,1036,2 Beds,2,2 Bath,2 ,Today,80%,4
The Landing,2 Bed 2 Bath,207MON,"$1,324 ",1324,1324,1324,1324,1324,1065 sqft,1065,2 Beds,2,2 Bath,2 ,Today,80%,4
The Landing,2 Bed 2 Bath,1-904,"$1,399 ",1399,1399,1399,1399,1399,1065 sqft,1065,2 Beds,2,2 Bath,2 ,Today,80%,4
The Landing,2 Bed 2 Bath,225MON,"$1,299 ",1299,1299,1299,1299,1299,1065 sqft,1065,2 Beds,2,2 Bath,2 ,Apr 10,80%,4
The Landing,2 Bed 2 Bath,1-102,"$1,199 ",1199,1199,1199,1199,1199,1065 sqft,1065,2 Beds,2,2 Bath,2 ,May 10,80%,4
The Landing,2 Bed 2 Bath,1-604,"$1,199 ",1199,1199,1199,1199,1199,1065 sqft,1065,2 Beds,2,2 Bath,2 ,Jun 12,80%,4
The Landing,2 Bed 2 Bath,306LAW,"$1,299 ",1299,1299,1299,1299,1299,1070 sqft,1070,2 Beds,2,2 Bath,2 ,Today,80%,4
The Landing,2 Bed 2 Bath,307MON,"$1,299 ",1299,1299,1299,1299,1299,1070 sqft,1070,2 Beds,2,2 Bath,2 ,Today,80%,4
The Landing,2 Bed 2 Bath,325MON,"$1,299 ",1299,1299,1299,1299,1299,1070 sqft,1070,2 Beds,2,2 Bath,2 ,Today,80%,4
The Landing,2 Bed 2 Bath,319MON,$999 ,999,999,999,999,999,1070 sqft,1070,2 Beds,2,2 Bath,2 ,Today,80%,4
The Landing,2 Bed 2.5 Bath,305MON,"$1,399 ",1399,1399,1399,1399,1399,1062 sqft,1062,2 Beds,2,2.5 Bath,2.5 ,Today,80%,4
The Landing,2 Bed 2.5 Bath,308LAW,"$1,399 ",1399,1399,1399,1399,1399,1062 sqft,1062,2 Beds,2,2.5 Bath,2.5 ,Today,80%,4
The Landing,2 Bed 2.5 Bath,311MON,"$1,399 ",1399,1399,1399,1399,1399,1062 sqft,1062,2 Beds,2,2.5 Bath,2.5 ,Today,80%,4
The Landing,2 Bed 2.5 Bath,314LAW,"$1,399 ",1399,1399,1399,1399,1399,1062 sqft,1062,2 Beds,2,2.5 Bath,2.5 ,Today,80%,4
The Landing,2 Bed 2.5 Bath,317MON,"$1,399 ",1399,1399,1399,1399,1399,1062 sqft,1062,2 Beds,2,2.5 Bath,2.5 ,Today,80%,4
